"Player","VORP","G","MP","draftYear","link","Amateur"
"Jeff Taylor",-1.2,132,2566,2012,"http://www.basketball-reference.com/players/t/tayloje03.html","College"
"Tomas Satoransky",-0.3,23,339,2012,"http://www.basketball-reference.com/players/s/satorto01.html","Euro"
"Bernard James",0.2,92,761,2012,"http://www.basketball-reference.com/players/j/jamesbe01.html","College"
"Jae Crowder",6.1,338,7415,2012,"http://www.basketball-reference.com/players/c/crowdja01.html","College"
"Draymond Green",14.2,355,9273,2012,"http://www.basketball-reference.com/players/g/greendr01.html","College"
"Orlando Johnson",-0.5,103,1112,2012,"http://www.basketball-reference.com/players/j/johnsor01.html","College"
"Quincy Acy",0.4,225,3400,2012,"http://www.basketball-reference.com/players/a/acyqu01.html","College"
"Quincy Miller",-0.5,69,934,2012,"http://www.basketball-reference.com/players/m/millequ01.html","College"
"Khris Middleton",4.1,267,8165,2012,"http://www.basketball-reference.com/players/m/middlkh01.html","College"
"Will Barton",0.8,277,5295,2012,"http://www.basketball-reference.com/players/b/bartowi01.html","College"
"Tyshawn Taylor",-0.8,61,491,2012,"http://www.basketball-reference.com/players/t/tayloty01.html","College"
"Doron Lamb",-1.2,100,1272,2012,"http://www.basketball-reference.com/players/l/lambdo01.html","College"
"Mike Scott",-0.3,270,4210,2012,"http://www.basketball-reference.com/players/s/scottmi01.html","College"
"Kim English",-0.2,41,407,2012,"http://www.basketball-reference.com/players/e/engliki01.html","College"
"Justin Hamilton",0.5,77,1359,2012,"http://www.basketball-reference.com/players/h/hamilju01.html","College"
"Darius Miller",-0.2,102,1460,2012,"http://www.basketball-reference.com/players/m/milleda01.html","College"
"Kevin Murphy",-0.2,17,52,2012,"http://www.basketball-reference.com/players/m/murphke01.html","College"
"Kostas Papanikolaou",-0.2,69,1089,2012,"http://www.basketball-reference.com/players/p/papanko01.html","Euro"
"Kyle O'Quinn",2.4,275,3912,2012,"http://www.basketball-reference.com/players/o/oquinky01.html","College"
"Izzet Turkyilmaz",NA,NA,NA,2012,"http://www.basketball-reference.com/players/t/turkyiz01.html","Euro"
"Kris Joseph",-0.1,10,54,2012,"http://www.basketball-reference.com/players/j/josepkr01.html","College"
"Ognjen Kuzmic",0,37,164,2012,"http://www.basketball-reference.com/players/k/kuzmiog01.html","Euro"
"Furkan Aldemir",0.2,41,540,2012,"http://www.basketball-reference.com/players/a/aldemfu01.html","Euro"
"Tornike Shengelia",-0.3,45,247,2012,"http://www.basketball-reference.com/players/s/shengto01.html","Euro"
"Darius Johnson-Odom",-0.1,7,21,2012,"http://www.basketball-reference.com/players/j/johnsda03.html","College"
"Tomislav Zubcic",NA,NA,NA,2012,"http://www.basketball-reference.com/players/z/zubcito01.html","Euro"
"Ilkan Karaman",NA,NA,NA,2012,"http://www.basketball-reference.com/players/k/karamil01.html","Euro"
"Robbie Hummel",-0.3,98,1397,2012,"http://www.basketball-reference.com/players/h/hummero01.html","College"
"Marcus Denmon",NA,NA,NA,2012,"http://www.basketball-reference.com/players/d/denmoma01.html","College"
"Robert Sacre",-0.8,189,2745,2012,"http://www.basketball-reference.com/players/s/sacrero01.html","College"
"Kyrie Irving",14.8,338,11507,2011,"http://www.basketball-reference.com/players/i/irvinky01.html","College"
"Derrick Williams",-2.4,396,8376,2011,"http://www.basketball-reference.com/players/w/willide02.html","College"
"Enes Kanter",-1.4,409,8686,2011,"http://www.basketball-reference.com/players/k/kanteen01.html","Euro"
"Tristan Thompson",3.9,422,12027,2011,"http://www.basketball-reference.com/players/t/thomptr01.html","College"
"Jonas Valanciunas",3.1,315,8271,2011,"http://www.basketball-reference.com/players/v/valanjo01.html","Euro"
"Jan Vesely",0.9,162,2455,2011,"http://www.basketball-reference.com/players/v/veselja01.html","Euro"
"Bismack Biyombo",0,402,8694,2011,"http://www.basketball-reference.com/players/b/biyombi01.html","Euro"
"Brandon Knight",2.7,363,11590,2011,"http://www.basketball-reference.com/players/k/knighbr03.html","College"
"Kemba Walker",14.1,399,13441,2011,"http://www.basketball-reference.com/players/w/walkeke02.html","College"
"Jimmer Fredette",-1.6,235,3148,2011,"http://www.basketball-reference.com/players/f/fredeji01.html","College"
"Klay Thompson",8.6,422,13763,2011,"http://www.basketball-reference.com/players/t/thompkl01.html","College"
"Alec Burks",0.1,260,5968,2011,"http://www.basketball-reference.com/players/b/burksal01.html","College"
"Markieff Morris",3.3,405,10453,2011,"http://www.basketball-reference.com/players/m/morrima02.html","College"
"Marcus Morris",4,373,9488,2011,"http://www.basketball-reference.com/players/m/morrima03.html","College"
"Kawhi Leonard",21.8,357,10774,2011,"http://www.basketball-reference.com/players/l/leonaka01.html","College"
"Nikola Vucevic",6.9,358,10700,2011,"http://www.basketball-reference.com/players/v/vucevni01.html","College"
"Iman Shumpert",4.2,327,8313,2011,"http://www.basketball-reference.com/players/s/shumpim01.html","College"
"Chris Singleton",-0.2,148,2605,2011,"http://www.basketball-reference.com/players/s/singlch01.html","College"
"Tobias Harris",4.2,339,9717,2011,"http://www.basketball-reference.com/players/h/harrito02.html","College"
"Donatas Motiejunas",0.2,214,4074,2011,"http://www.basketball-reference.com/players/m/motiedo01.html","Euro"
"Nolan Smith",-0.9,84,829,2011,"http://www.basketball-reference.com/players/s/smithno01.html","College"
"Kenneth Faried",8.8,380,9939,2011,"http://www.basketball-reference.com/players/f/farieke01.html","College"
"Nikola Mirotic",2.9,182,4090,2011,"http://www.basketball-reference.com/players/m/mirotni01.html","Euro"
"Reggie Jackson",5.4,367,8911,2011,"http://www.basketball-reference.com/players/j/jacksre01.html","College"
"MarShon Brooks",-0.4,164,2876,2011,"http://www.basketball-reference.com/players/b/brookma01.html","College"
"Jordan Hamilton",0.3,151,2100,2011,"http://www.basketball-reference.com/players/h/hamiljo02.html","College"
"JaJuan Johnson",-0.3,36,298,2011,"http://www.basketball-reference.com/players/j/johnsja02.html","College"
"Norris Cole",-3.8,347,7893,2011,"http://www.basketball-reference.com/players/c/coleno01.html","College"
"Cory Joseph",2.2,317,5808,2011,"http://www.basketball-reference.com/players/j/josepco01.html","College"
"Jimmy Butler",15.9,359,11390,2011,"http://www.basketball-reference.com/players/b/butleji01.html","College"
"Bojan Bogdanovic",-0.9,190,4855,2011,"http://www.basketball-reference.com/players/b/bogdabo02.html","Euro"
"Justin Harper",-0.2,19,119,2011,"http://www.basketball-reference.com/players/h/harpeju01.html","College"
"Kyle Singler",1,332,7560,2011,"http://www.basketball-reference.com/players/s/singlky01.html","College"
"Shelvin Mack",-0.7,311,5435,2011,"http://www.basketball-reference.com/players/m/macksh01.html","College"
"Tyler Honeycutt",-0.1,24,120,2011,"http://www.basketball-reference.com/players/h/honeyty01.html","College"
"Jordan Williams",-0.2,43,635,2011,"http://www.basketball-reference.com/players/w/willijo03.html","College"
"Trey Thompkins",-0.2,24,119,2011,"http://www.basketball-reference.com/players/t/thomptr02.html","College"
"Chandler Parsons",12.2,352,11545,2011,"http://www.basketball-reference.com/players/p/parsoch01.html","College"
"Jeremy Tyler",-1.2,104,1034,2011,"http://www.basketball-reference.com/players/t/tylerje01.html",""
